x,y
0,0
0.1,0.0974495
0.2,0.194899
0.3,0.292349
0.4,0.388715
0.5,0.471329
0.6,0.553942
0.7,0.636556
0.8,0.715167
0.9,0.770368
1,0.825569
1.1,0.880769
1.2,0.928125
1.3,0.947509
1.4,0.966893
1.5,0.986277
1.6,0.994339
1.7,0.974955
1.8,0.955571
1.9,0.936187
2,0.903729
2.1,0.848528
2.2,0.793327
2.3,0.738127
2.4,0.670917
2.5,0.588304
2.6,0.50569
2.7,0.423076
2.8,0.33288
2.9,0.235431
3,0.137981
3.1,0.0405318
3.2,-0.0569177
3.3,-0.154367
3.4,-0.251817
3.5,-0.349266
3.6,-0.436967
3.7,-0.519581
3.8,-0.602195
3.9,-0.684809
4,-0.747408
4.1,-0.802609
4.2,-0.85781
4.3,-0.913011
4.4,-0.939447
4.5,-0.958831
4.6,-0.978215
4.7,-0.997599
4.8,-0.983018
4.9,-0.963634
5,-0.94425
5.1,-0.924866
5.2,-0.871487
5.3,-0.816287
5.4,-0.761086
5.5,-0.705279
5.6,-0.622665
5.7,-0.540051
5.8,-0.457437
5.9,-0.373412
6,-0.275963
6.1,-0.178513
6.2,-0.0810637
6.3,0.0163858
6.4,0.113835
6.5,0.211285
6.6,0.308734
6.7,0.402606
6.8,0.48522
6.9,0.567834
7,0.650447
7.1,0.724449
7.2,0.77965
7.3,0.83485
7.4,0.890051
7.5,0.931384
7.6,0.950768
7.7,0.970152
7.8,0.989536
7.9,0.99108
8,0.971696
8.1,0.952312
8.2,0.932928
8.3,0.894447
8.4,0.839246
8.5,0.784045
8.6,0.728845
8.7,0.657026
8.8,0.574412
8.9,0.491799
9,0.409185
9.1,0.316495
9.2,0.219045
9.3,0.121596
9.4,0.024146
9.5,-0.0733035
9.6,-0.170753
9.7,-0.268203
9.8,-0.365652
9.9,-0.455628
10,-0.544021
